college,4_year,5_year,6_year
Anderson Schools of Management,18.6500%,45.2600%,52.9100%
College of Arts and Sciences,16.9500%,45.2900%,54.6300%
College of Education,13.6100%,42.5200%,52.3800%
College of Fine Arts,17.3900%,40.2200%,51.0900%
College of Nursing,18.0300%,28.6900%,31.9700%
College of Pharmacy,31.9100%,48.9400%,48.9400%
School of Arch. and Planning,8.0600%,37.100%,56.4500%
School of Engineering,11.3700%,38.8600%,48.8200%
School of Medicine,2.6700%,17.3300%,25.3300%
University College,4.3300%,11.4200%,14.5700%
