Fall to Fall Retention for First-time Students - Transfers Included,,,,,,,,
,,Fall 2012,,,Fall 2013,,,% Graduated
College,Major,Enrolled,Graduated,Total,Enrolled,Graduated,% Retained,
,Computer Science,63,0,63,49,0,77.78%,0.00%
,Construction Engineering,5,0,5,2,0,40.00%,0.00%
,Construction Management,5,0,5,3,0,60.00%,0.00%
,Electrical Engineering,34,0,34,23,0,67.65%,0.00%
,General Engineering,243,0,243,197,0,81.07%,0.00%
,Mechanical Engineering,70,0,70,53,0,75.71%,0.00%
,Nuclear Engineering,2,0,2,1,0,50.00%,0.00%
Totals - School of Engineering,,515,0,515,393,0,76.31%,0.00%
School of Medicine,Dental Hygiene,46,0,46,29,0,63.04%,0.00%
,Emergency Medical Services,45,0,45,33,1,73.33%,2.22%
,Medical Laboratory Sciences,54,0,54,41,1,75.93%,1.85%
,Nuclear Medicine Imaging,1,0,1,1,0,100.00%,0.00%
,Radiologic Sciences,56,0,56,25,1,44.64%,1.79%
Totals - School of Medicine,,202,0,202,129,3,63.86%,1.49%
University College,Native American Studies,2,0,2,2,0,100.00%,0.00%
,Undecided,626,0,626,478,0,76.36%,0.00%
,University Studies,52,0,52,36,2,69.23%,3.85%
Totals - University College,,680,0,680,516,2,75.88%,0.29%
Totals First-time - Including Transfers,,4724,0,4724,3605,21,76.31%,0.44%
