college,4_year,5_year,6_year
Anderson Schools of Management,11.900%,20.4100%,26.8700%
College of Arts and Sciences,6.9500%,14.6200%,17.3300%
College of Education,5.6600%,13.2100%,14.6200%
College of Fine Arts,6.1800%,11.800%,16.8500%
College of Nursing,5.9300%,8.8900%,11.1100%
College of Pharmacy,7.5900%,11.3900%,11.3900%
School of Arch. and Planning,7.500%,17.500%,21.2500%
School of Engineering,0%,1.00%,1.3300%
School of Medicine,2.3300%,3.4900%,6.9800%
University College,0.300%,0.4400%,0.5900%
