college,4_year,5_year,6_year
Anderson Schools of Management,11.0100%,23.8500%,25.6900%
College of Arts and Sciences,5.0600%,12.3900%,15.0400%
College of Education,4.2300%,11.9700%,12.6800%
College of Fine Arts,6.0300%,12.9300%,13.7900%
College of Nursing,5.600%,8.00%,8.800%
College of Pharmacy,8.200%,8.200%,8.200%
School of Arch. and Planning,9.5700%,18.0900%,20.2100%
School of Engineering,1.3700%,2.0500%,3.0800%
School of Medicine,0%,3.3900%,6.7800%
University College,0%,0%,0%
